SampleID,Crypto_OocystsPerML,DetectionLevel,Crypto_OocystsPerLiter,,,,,,,,,,,,,,,,,,
B-109-C-30-T,34.80000,WR,34800,,,,,,,,,,,,,,,,,,
B-109-C-T2,23.00000,WR,23000,,,,,,,,,,,,,,,,,,
B-101-S-30-T,581.25000,WR,581250,,,,,,,,,,,,,,,,,,
B-101-S-T2,237.50000,WR,237500,,,,,,,,,,,,,,,,,,
B-110-X-30-T,0.00025,BDL,0.25,,,,,,,,,,,,,,,,,,
B-110-X-T2,0.00025,BDL,0.25,,,,,,,,,,,,,,,,,,
B-205-C-30-T,27.00000,WR,27000,,,,,,,,,,,,,,,,,,
B-205-C-T2,19.80000,WR,19800,,,,,,,,,,,,,,,,,,
B-204-X-30-T,0.00100,BDL,1,,,,,,,,,,,,,,,,,,
B-204-X-T2,0.00067,BDL,0.666666667,,,,,,,,,,,,,,,,,,
B-405-X-30-T,0.08500,BDL,85,,,,,,,,,,,,,,,,,,
B-405-X-T2,0.14425,BDL,144.25,,,,,,,,,,,,,,,,,,
B-406-S-30-T,433.12500,WR,433125,,,,,,,,,,,,,,,,,,
B-406-S-T2,273.75000,WR,273750,,,,,,,,,,,,,,,,,,
B-411-S-30-T,1.06306,WR,1063.063063,,,,,,,,,,,,,,,,,,
B-411-S-T2,95.00000,WR,95000,,,,,,,,,,,,,,,,,,
B-412-C-30-T,12.40000,WR,12400,,,,,,,,,,,,,,,,,,
B-412-C-T2,7.60000,WR,7600,,,,,,,,,,,,,,,,,,
B-107-C-30-T,0.20000,WR,200,,,,,,,,,,,,,,,,,,
B-107-C-T2,0.16000,WR,160,,,,,,,,,,,,,,,,,,
B-501-X-30-T,0.00050,BDL,0.5,,,,,,,,,,,,,,,,,,
B-501-X-T2,0.00050,WR,0.5,,,,,,,,,,,,,,,,,,
B-502-S-30-T,3.40000,WR,3400,,,,,,,,,,,,,,,,,,
B-502-S-T2,3.10000,WR,3100,,,,,,,,,,,,,,,,,,
B-111-S-30-T,20.90000,WR,20900,,,,,,,,,,,,,,,,,,
B-111-S-T2,15.80000,WR,15800,,,,,,,,,,,,,,,,,,
B-209-C-30-T,0.03200,WR,32,,,,,,,,,,,,,,,,,,
B-209-C-T2,0.04400,WR,44,,,,,,,,,,,,,,,,,,
B-210-S-30-T,0.90000,WR,900,,,,,,,,,,,,,,,,,,
B-210-S-T2,6.00000,WR,6000,,,,,,,,,,,,,,,,,,
B-307-C-30-T,0.01200,WR,12,,,,,,,,,,,,,,,,,,
B-307-C-T2,0.12000,WR,120,,,,,,,,,,,,,,,,,,
B-308-X-30-T,0.10400,WR,104,,,,,,,,,,,,,,,,,,
B-308-X-T2,0.00333,WR,3.333333333,,,,,,,,,,,,,,,,,,
B-407-X-30-T,0.00050,BDL,0.5,,,,,,,,,,,,,,,,,,
B-407-X-T2,0.00050,BDL,0.5,,,,,,,,,,,,,,,,,,
B-105-X-30-T,0.00050,BDL,0.5,,,,,,,,,,,,,,,,,,
B-105-X-T2,0.00050,BDL,0.5,,,,,,,,,,,,,,,,,,
B-503-C-30-T,0.00057,WR,0.571428571,,,,,,,,,,,,,,,,,,
B-503-C-T2,0.00165,WR,1.647058824,,,,,,,,,,,,,,,,,,
B-504-X-30-T,0.00067,BDL,0.666666667,,,,,,,,,,,,,,,,,,
B-504-X-T2,0.00067,BDL,0.666666667,,,,,,,,,,,,,,,,,,
B-202-S-30-T,5.80000,WR,5800,,,,,,,,,,,,,,,,,,
B-202-S-T2,4.70000,WR,4700,,,,,,,,,,,,,,,,,,
B-401-S-30-T,3.50000,WR,3500,,,,,,,,,,,,,,,,,,
B-401-S-T2,1.80000,WR,1800,,,,,,,,,,,,,,,,,,
B-402-X-30-T,0.03533,WR,35.33333333,,,,,,,,,,,,,,,,,,
B-402-X-T2,0.00100,BDL,1,,,,,,,,,,,,,,,,,,
B-403-C-30-T,0.00080,WR,0.8,,,,,,,,,,,,,,,,,,
B-403-C-T2,0.00215,WR,2.153846154,,,,,,,,,,,,,,,,,,
B-409-C-30-T,0.00123,WR,1.230769231,,,,,,,,,,,,,,,,,,
B-409-C-T2,0.00033,BDL,0.333333333,,,,,,,,,,,,,,,,,,
B-410-S-30-T,1.90000,WR,1900,,,,,,,,,,,,,,,,,,
B-410-S-T2,1.00000,WR,1000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
