ManureTreatmentID,DaysSinceApplication,PoultryManureApplicationRate_KgPerMeter,CattleManureApplicationRate_KgPerMeter,SwineManureApplicationRate_LitersPerMeter,CampylobacterCulturable_MPNPerGramDryWeight,CampylobacterCulturableDetectionLevel,CampylobacterCulturable_MPNPerML,CampylobacterCulturableDetectionLevel,Campylobacter_GUPerML,CampylobacterDetectionLevel,Campylobacter_GUPerGramDryWeight,CampylobacterDetectionLevel,ClostridiumCulturable_TSCFF_CFUPerGramDryWeight,ClostridiumCulturable_TSCFF_DetectionLevel,ClostridiumCulturable_TSCFF_CFUPerML,ClostridiumCulturable_TSCFF_DetectionLevel,Crypto_OocystsPerGramDryWeight,Crypto_OocystsDetectionLevel,Crypto_OocystsPerGramWetWeight,Crypto_OocystsDetectionLevel,Crypto_OocystsPermL,Crypto_OocystsDetectionLevel,Giardia_CystsPerML,GiardiaDetectionLevel,Giardia_CystsPerGramDryWeight,GiardiaDetectionLevel,Giardia_CystsPerGramWetWeight,GiardiaDetectionLevel,EColi0157Culturable_MPNPerML,EColi0157CulturableDetectionLevel,EColi0157Culturable_MPNPerGramDryWeight,EColi0157CulturableDetectionLevel,Ecoli0157_Surrogate_CFUPerGramDryWeight,Ecoli0157SurrogateDetectionLevel,Ecoli0157_Surrogate_CFUPerGramWetWeight,Ecoli0157SurrogateDetectionLevel,Ecoli0157_Surrogate_CFUPerML,Ecoli0157SurrogateDetectionLevel,ECoil_stx1_GUPerML,ECoil_stx1DetectionLevel,ECoil_stx1_GUPerGramDryWeight,ECoil_stx1DetectionLevel,ECoil_stx2_GUPerML,ECoil_stx2DetectionLevel,ECoil_stx2_GUPerGramDryWeight,ECoil_stx2DetectionLevel,Ecoli_eae_GUPerML,Ecoli_eae_DetectionLevel,Ecoli_eae_GUPerGramDryWeight,Ecoli_eae_DetectionLevel,SalmonellaCulturable_Wild_MPNPerGramDryWeight,SamonellaCulturableWildDetectionLevel,SalmonellaCulturable_Wild_MPNPerML,SamonellaCulturableWildDetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerGramDryWeight,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerML,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerGramWetWeight,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaQPCR_GUPerML,SalmonellaQPCRDetectionLevel,SalmonellaQPCR_GUPerGramDryWeight,SalmonellaQPCRDetectionLevel,EColiCulturableColilert_MPNPer100ML,EColiCulturableColilertDetectionLevel,EColiCulturableColilert_MPNPerGramWetWeight,EColiCulturableColilertDetectionLevel,enterococciCulturableMEI_CFUPerGramWetWeight,enterococciCulturableMEIDetectionLevel,enterococciCulturableMEI_CFUPerML,enterococciCulturableMEIDetectionLevel,TotalColiformsCulturableColilert_MPNPer100ML,TotalColiformsCulturableColilertDetectionLevel,TotalColiformsCulturableColilert_MPNPerGramWetWeight,TotalColiformsCulturableColilertDetectionLevel
M_C_Day1_C_Spiked,1.00,0.00,1.60,0.00,,,,,,,,,,,,,,,2.08E+04,WR,,,,,,,2.52E+03,WR,,,,,,,1.33E+07,WR,,,,,,,,,,,,,,,,,,,,,,,5.67E+07,WR,,,,,,,171624850,WR,,,,,,,16094750000,WR
M_C_Day1_C_Unspiked,1.00,0.00,0.00,0.00,29.13,WR,,,,,1346.38,BDL,3.4E+01,WR,,,9.37,BDL,,,,,,,9.37,BDL,,,,,0.28,BDL,100,BDL,,,,,,,1.35E+03,BDL,,,1.35E+03,BDL,,,1.35E+03,BDL,0.28,BDL,,,0.28,BDL,,,,,,,1.35E+03,BDL,,,106269750,WR,140000,WR,,,,,106269750,WR
M_C_Day2_C_Spiked,2.00,0.00,1.60,0.00,,,,,,,,,,,,,,,1.76E+04,WR,,,,,,,1.90E+03,WR,,,,,,,6.38E+06,WR,,,,,,,,,,,,,,,,,,,,,,,1.51E+07,WR,,,,,,,24874875,WR,,,,,,,58030822500,WR
M_C_Day2_C_Unspiked,2.00,0.00,0.00,0.00,36,WR,,,,,1231.01,BDL,9.0E+03,WR,,,8.57,BDL,,,,,,,8.57,BDL,,,,,0.26,BDL,100,BDL,,,,,,,1.23E+03,BDL,,,1.23E+03,BDL,,,1.23E+03,BDL,0.26,BDL,,,0.26,BDL,,,,,,,1.23E+03,BDL,,,46700000,WR,293333.3333,WR,,,,,52042500,WR
M_C_Day3_C_Spiked,3.00,0.00,2.11,0.00,,,,,,,,,,,,,,,1.80E+04,WR,,,,,,,2.62E+03,WR,,,,,,,5.52E+06,WR,,,,,,,,,,,,,,,,,,,,,,,5.13E+07,WR,,,,,,,1391083.333,WR,,,,,,,23310082500,WR
M_C_Day3_C_Unspiked,3.00,0.00,0.00,0.00,89.03,WR,,,,,1351.45,BDL,2.2E+03,WR,,,18.8,WR,,,,,,,116.00,WR,,,,,0.28,BDL,100,BDL,,,,,,,1.35E+03,BDL,,,1.35E+03,BDL,,,1.35E+03,BDL,0.28,BDL,,,0.28,BDL,,,,,,,1.35E+03,BDL,,,6840000,WR,1485000,WR,,,,,10535000,WR
M_P_Day1_C_Spiked,1.00,0.70,0.00,0.00,,,,,,,,,,,,,,,,ANP,,,,,,,,ANP,,,,,,,,ANP,,,,,,,,,,,,,,,,,,,,,,,1.41E+06,WR,,,,,,,12362875,WR,,,,,,,65478333.33,WR
M_P_Day1_C_Unspiked,1.00,0.00,0.00,0.00,<0.04,BDL,,,,,456.37,BDL,5.5E+01,WR,,,,ANP,,,,,,,,ANP,,,,,,ANP,,,,,,,,,4.56E+02,BDL,,,4.56E+02,BDL,,,4.56E+02,BDL,0.04,BDL,,,0.04,BDL,,,,,,,4.56E+02,BDL,,,36411666.67,WR,1345000,WR,,,,,83518750,WR
M_P_Day2_C_Spiked,2.00,0.70,0.00,0.00,,,,,,,,,,,,,,,,ANP,,,,,,,,ANP,,,,,,,,ANP,,,,,,,,,,,,,,,,,,,,,,,2.97E+06,WR,,,,,,,449433333.3,WR,,,,,,,1023133333,WR
M_P_Day2_C_Unspiked,2.00,0.00,0.00,0.00,<0.04,BDL,,,,,3106.75,WR,4.6E+03,WR,,,,ANP,,,,,,,,ANP,,,,,,ANP,,,,,,,,,4.46E+02,BDL,,,4.46E+02,BDL,,,4.46E+02,BDL,0.04,BDL,,,0.04,BDL,,,,,,,4.46E+02,BDL,,,141845400,WR,2225000,WR,,,,,222136666.7,WR
M_P_Day3_C_Spiked,3.00,0.70,0.00,0.00,,,,,,,,,,,,,,,,ANP,,,,,,,,ANP,,,,,,,,ANP,,,,,,,,,,,,,,,,,,,,,,,6.93E+05,WR,,,,,,,86716666.67,WR,,,,,,,142100000,WR
M_P_Day3_C_Unspiked,3.00,0.00,0.00,0.00,<0.05,BDL,,,,,7318.37,WR,5.2E+03,WR,,,,ANP,,,,,,,,ANP,,,,,,ANP,,,,,,,,,5.42E+02,BDL,,,5.42E+02,BDL,,,5.42E+02,BDL,0.05,BDL,,,0.05,BDL,,,,,,,2.62E+03,BDL,,,8975000,WR,9700000,WR,,,,,74210000,WR
M_S_Day1_C_Spiked,1.00,0.00,0.00,0.67,,,,,,,,,,,,,,,,,6.49E+05,WR,7.05E+03,WR,,,,,,,,,,,,,1.69E+07,WR,,,,,,,,,,,,,,,,,,,4.60E+07,WR,,,,,,,5674666.667,WR,,,,,,,1912675000,WR,,
M_S_Day1_C_Unspiked,1.00,0.00,0.00,0.00,,,49.07,WR,72.00,BDL,,,,,2.7E+03,WR,,,,,0.02,BDL,0.02,BDL,,,,,0.03,BDL,,,,ANP,,,10,BDL,2.78E+01,WR,,,7.20E+01,BDL,,,7.20E+01,BDL,,,,,28.67,WR,,,0.03,BDL,,,1.61E+02,BDL,,,4417314,WR,,,,,7500,WR,10026580,WR,,
M_S_Day2_C_Spiked,2.00,0.00,0.00,0.67,,,,,,,,,,,,,,,,,5.90E+05,WR,4.79E+03,WR,,,,,,,,,,,,,12960000,WR,,,,,,,,,,,,,,,,,,,6.00E+07,WR,,,,,,,6467166.667,WR,,,,,,,1732900000,WR,,
M_S_Day2_C_Unspiked,2.00,0.00,0.00,0.00,,,2.90,WR,342.72,WR,,,,,2.2E+03,WR,,,,,0.02,BDL,0.02,BDL,,,,,0.03,BDL,,,,ANP,,,10,BDL,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,,,93.67,WR,,,0.03,BDL,,,7.20E+01,BDL,,,9216000,WR,,,,,26283.33333,WR,16113666.67,WR,,
M_S_Day3_C_Spiked,3.00,0.00,0.00,0.67,,,,,,,,,,,,,,,,,6.15E+05,WR,3.41E+03,WR,,,,,,,,,,,,,1.52E+07,WR,,,,,,,,,,,,,,,,,,,3.87E+07,WR,,,,,,,3216100,WR,,,,,,,510240204.2,WR,,
M_S_Day3_C_Unspiked,3.00,0.00,0.00,0.00,,,1.91,WR,844.94,WR,,,,,3.0E+03,WR,,,,,0.02,BDL,0.07,WR,,,,,0.03,BDL,,,,ANP,,,10,BDL,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,,,15.87,WR,,,0.03,BDL,,,1.70E+02,BDL,,,5414500,WR,,,,,15233.33333,WR,9146166.667,WR,,
M_X_Day1_C,1.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_X_Day2_C,2.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_X_Day3_C,3.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
